case_id,operation_title,status,description,created_at
1,Operation Iron Grid,Active,Cross-state illicit syndicate communication network operating via burner lines.,2025-01-15
2,Case #2024-ND-89: Hawala Matrix,Active,Unregulated high-frequency financial routing across shell firms.,2024-11-20
3,The Bengaluru Crypto Heist,Under Review,Simulated intrusion and wallet drain linked to offshore accounts.,2024-12-05
4,Operation Falcon Wing,Critical,Interstate trafficking and vehicle fleet routing between Delhi-NCR and Mumbai.,2025-02-01
5,Case #2025-MH-104: Ghost Callers,Active,VoIP spoofing ring extorting high-net-worth accounts.,2025-01-28
6,Operation Dark Port,Active,Cross-border container smuggling and false bill of lading ring.,2024-10-12
7,The Cyber Syndicate V3,Under Review,Malware deployment targeting banking gateway endpoints.,2024-09-30
8,Case #2025-HYD-55: Tech Park Extortion,Active,Ransomware extortion targeting corporate leadership.,2025-02-14
9,Project Nightfall,Closed,Counterfeit currency distribution network dismantled in Old Delhi.,2024-08-10
10,Operation Silver Line,Active,Precious metal tax evasion and shell logistics conduit.,2024-12-18
11,Case #2025-DL-302: Red Fort Espionage,Critical,Unauthorized drone surveillance and encrypted data transmission.,2025-01-05
12,Operation Golden Route,Active,Smuggled bullion movement via domestic luxury bus networks.,2024-11-02
13,Case #2024-BLR-401: Cloud Breach,Closed,Unauthorized AWS credential leak and database extortion.,2024-07-22
14,The Mumbai Port Shell Link,Under Review,Customs evasion ring utilizing 12 front companies.,2025-02-10
15,Operation Shadow Hawk,Active,Armed syndicate coordinating via encrypted peer-to-peer radios.,2025-02-22
